Fecha;Cuenta;Litros cargados;Monto;Precio por litro
28-11-25;Stratus;70,2;$118.638;$1.690
25-11-25;MO;41,7;$70.473;$1.690
21-11-25;Stratus;78;$131.820;$1.690
18-11-25;MOS;81,3;$137.397;$1.690
15-11-25;Stratus;97;$163.930;$1.690
07-11-25;MM;91;$153.790;$1.690
26-10-25;Stratus;10,4;$17.576;$1.690
25-10-25;Stratus;43,4;$73.346;$1.690
23-10-25;Stratus;64,5;$109.005;$1.690
20-10-25;MM;93;$157.170;$1.690
16-10-25;MM;83;$140.270;$1.690
15-10-25;PS;88,1;$148.889;$1.690
15-10-25;PS;75,1;$126.919;$1.690
09-10-25;PS;33,6;$56.784;$1.690
08-10-25;Stratus;68;$116.076;$1.707
04-10-25;BR;105,1;$179.400;$1.707
27-09-25;FL;35;$59.745;$1.707
25-09-25;Stratus;87;$148.509;$1.707
15-09-25;Stratus;38,5;$65.719;$1.707
12-09-25;Stratus;86,8;$165.788;$1.910
12-09-25;Stratus;33,3;$56.510;$1.697
11-09-25;MOS;99,8;$169.361;$1.697
04-09-25;Stratus;75,7;$128.463;$1.697
31-08-25;Stratus;91;$154.427;$1.697
23-08-25;Stratus;52;$88.244;$1.697
20-08-25;Stratus;74,1;$125.748;$1.697
17-08-25;FL;54;$91.638;$1.697
11-08-25;Stratus;40,3;$68.389;$1.697
06-08-25;PS;93,5;$158.670;$1.697
06-08-25;MM;49,2;$83.492;$1.697
05-08-25;PS;87,4;$148.318;$1.697
04-08-25;PS;81;$137.457;$1.697
29-07-25;Stratus;71;$112.322;$1.582
29-07-25;Stratus;58,8;$99.784;$1.697
11-07-25;BR;66;$112.002;$1.697
11-07-25;PS;81,5;$138.306;$1.697
08-07-25;PS;75;$127.275;$1.697
03-07-25;FL;62;$105.214;$1.697
02-07-25;Stratus;51;$86.547;$1.697
27-06-25;BR;42,9;$72.801;$1.697
27-06-25;Stratus;51;$86.547;$1.697
22-06-25;Stratus;18,5;$31.395;$1.697
21-06-25;Stratus;32;$54.304;$1.697
18-06-25;PS;76,4;$129.651;$1.697
17-06-25;MOS;32;$54.304;$1.697
16-06-25;PS;104,4;$177.167;$1.697
16-06-25;MOS;55;$93.335;$1.697
05-06-25;MOS;67;$113.699;$1.697
04-06-25;Stratus;29;$48.662;$1.678
31-05-25;Stratus;42;$70.476;$1.678
30-05-25;Stratus;66;$110.748;$1.678
29-05-25;Stratus;33,6;$55.374;$1.648
21-05-25;Stratus;50;$83.900;$1.678
21-05-25;Stratus;43,3;$72.657;$1.678
07-05-25;Stratus;46;$77.188;$1.678
02-05-25;Stratus;30,7;$51.054;$1.663
29-04-25;Stratus;65;$108.095;$1.663
22-04-25;Stratus;90;$149.670;$1.663
22-04-25;Stratus;80;$133.040;$1.663
14-04-25;Stratus;73,2;$121.732;$1.663
11-04-25;Stratus;61,6;$102.441;$1.663
04-04-25;JL;78,6;$130.712;$1.663
27-03-25;Stratus;97;$168.683;$1.739
19-03-25;PG;28;$48.692;$1.739
17-03-25;Stratus;61,8;$107.470;$1.739
15-03-25;Stratus;40,3;$72.082;$1.789
15-03-25;Stratus;64;$111.246;$1.738
14-03-25;Stratus;63,9;$111.122;$1.739
04-03-25;Stratus;84,5;$146.945;$1.739
02-03-25;Stratus;39;$67.821;$1.739
01-03-25;Stratus;60;$104.340;$1.739
24-02-25;Stratus;64,7;$112.513;$1.739
21-02-25;Stratus;77;$133.903;$1.739
19-02-25;Stratus;87;$151.293;$1.739
17-02-25;MM;93,5;$162.597;$1.739
15-02-25;PG;50;$86.950;$1.739
12-02-25;Stratus;76,8;$133.555;$1.739
11-02-25;Stratus;89;$154.771;$1.739
06-02-25;MC;79,3;$154.635;$1.950
30-01-25;Stratus;52;$90.428;$1.739
25-01-25;Stratus;86,5;$150.423;$1.739
24-01-25;MM;49,5;$86.080;$1.739
20-01-25;Stratus;87;$145.203;$1.669
09-01-25;JR;78,9;$131.684;$1.669
09-01-25;JR;73;$114.296;$1.566
09-01-25;JR;73;$121.837;$1.669
06-01-25;MM;75;$115.169;$1.536
05-01-25;Stratus;78,3;$130.683;$1.669
23-12-24;Stratus;45;$75.105;$1.669
21-12-24;JR;43;$71.767;$1.669
21-12-24;JR;73,8;$123.172;$1.669
12-12-24;Stratus;46;$76.774;$1.669
09-12-24;JR;58;$97.382;$1.679
07-12-24;Stratus;78;$130.962;$1.679
06-12-24;AC;40;$64.320;$1.608
06-12-24;MM;85,9;$144.226;$1.679
02-12-24;CF;62,2;$104.434;$1.679
29-11-24;Stratus;72,1;$121.056;$1.679
26-11-24;SV;77;$116.311;$1.511
24-11-24;Stratus;52,6;$104.674;$1.990
22-11-24;SV;65;$104.000;$1.600
19-11-24;Stratus;81;$83.600;$1.032
19-11-24;Stratus;50;$83.600;$1.672
18-11-24;CM;52,5;$87.780;$1.672
15-11-24;FL;35;$58.520;$1.672
12-11-24;Stratus;74,2;$124.062;$1.672
12-11-24;JR;66;$110.352;$1.672
10-11-24;Stratus;42,7;$71.394;$1.672
02-11-24;PG;66,1;$109.726;$1.660
21-10-24;Stratus;98,7;$163.842;$1.660
21-10-24;Stratus;47;$78.020;$1.660
17-10-24;CM;74,1;$123.006;$1.660
17-10-24;MM;40,4;$67.064;$1.660
16-10-24;JR;68,5;$113.710;$1.660
14-10-24;CF;30;$51.210;$1.707
13-10-24;RL;40;$68.280;$1.707
08-10-24;MM;96,5;$164.725;$1.707
07-10-24;CF;101,9;$173.943;$1.707
17-09-24;Stratus;99;$171.963;$1.737
17-09-24;Stratus;47;$81.639;$1.737
13-09-24;CF;81,5;$141.566;$1.737
11-09-24;GG;91,9;$159.630;$1.737
11-09-24;CF;16;$27.792;$1.737
11-09-24;CF;93;$161.541;$1.737
10-09-24;CF;35;$60.000;$1.714
10-09-24;CF;88,5;$153.725;$1.737
06-09-24;Stratus;81;$140.697;$1.737
06-09-24;Stratus;73,6;$127.843;$1.737
29-08-24;Stratus;75,2;$130.246;$1.732
19-08-24;JL;83,5;$144.622;$1.732
26-07-24;Stratus;65,9;$114.139;$1.732
20-07-24;Stratus;81;$140.292;$1.732
19-07-24;CR;50,9;$88.159;$1.732
18-07-24;Stratus;74;$128.168;$1.732
17-07-24;JL;59,6;$103.224;$1.732
17-07-24;Stratus;79;$136.828;$1.732
16-07-24;JL;58;$100.456;$1.732
15-07-24;PV;31,7;$54.900;$1.732
06-07-24;Stratus;106,2;$183.938;$1.732
27-06-24;Stratus;67,1;$119.774;$1.785
25-06-24;Stratus;63;$112.455;$1.785
25-06-24;Stratus;82;$146.370;$1.785
24-06-24;Stratus;41;$73.185;$1.785
02-06-24;Stratus;84;$166.404;$1.981
27-05-24;Stratus;53;$104.993;$1.981
23-05-24;CF;93;$184.233;$1.981
19-05-24;CF;88;$174.328;$1.981
11-05-24;Stratus;67,7;$134.114;$1.981
06-05-24;JT;77,7;$153.923;$1.981
04-05-24;Stratus;70;$138.670;$1.981
17-04-24;Stratus;83,8;$166.010;$1.981
01-04-24;Stratus;113,2;$215.080;$1.900
13-03-24;Stratus;41,7;$79.230;$1.900
12-03-24;Stratus;83,6;$142.872;$1.709
29-02-24;Stratus;93;$158.937;$1.709
28-02-24;AC;84,9;$145.094;$1.709
20-02-24;AC;66;$112.794;$1.709
20-02-24;AC;57,1;$97.584;$1.709
13-02-24;Stratus;53;$90.577;$1.709
05-02-24;Stratus;30;$48.780;$1.626
05-02-24;Stratus;76;$123.576;$1.626
04-02-24;RB;101,9;$179.560;$1.762
30-01-24;Stratus;42;$68.292;$1.626
30-01-24;Stratus;79;$118.760;$1.503
30-01-24;Stratus;68;$110.568;$1.626
23-01-24;Stratus;87;$139.200;$1.600
21-01-24;Stratus;20,1;$30.753;$1.530
17-01-24;RL;40;$61.200;$1.530
16-01-24;Stratus;67;$102.510;$1.530
10-01-24;CV;94;$143.820;$1.530
10-01-24;Stratus;99;$151.470;$1.530
27-12-23;AC;71;$108.630;$1.530
25-12-23;Stratus;40;$61.520;$1.538
19-11-23;Stratus;88;$156.552;$1.779
15-11-23;JT;81;$144.099;$1.779
14-11-23;SM;56,2;$100.000;$1.779
04-11-23;Stratus;94;$167.226;$1.779
04-11-23;Stratus;87;$154.773;$1.779
03-11-23;SM;56,2;$100.000;$1.779
25-10-23;GT;64;$113.856;$1.779
24-10-23;JT;55,9;$99.446;$1.779
23-10-23;GT;66,2;$117.770;$1.779
17-10-23;Stratus;97;$172.563;$1.779
16-10-23;Stratus;90;$146.327;$1.626
16-10-23;Stratus;57;$101.403;$1.779
12-10-23;Stratus;50;$92.500;$1.850
12-10-23;Stratus;59;$106.200;$1.800
12-10-23;Stratus;63;$125.370;$1.990
29-09-23;Stratus;14;$26.222;$1.873
26-09-23;Stratus;110;$206.030;$1.873
25-09-23;Stratus;16,8;$30.000;$1.786
21-09-23;Stratus;79,4;$133.154;$1.677
16-09-23;Stratus;71;$119.067;$1.677
08-09-23;Stratus;70,8;$118.732;$1.677
30-08-23;AGH;60;$100.620;$1.677
14-08-23;Stratus;108;$164.376;$1.522
29-07-23;RB;41;$62.402;$1.522
26-07-23;Stratus;55,1;$83.862;$1.522
24-07-23;Stratus;72,7;$110.649;$1.522
20-07-23;AC;52,2;$79.448;$1.522
19-07-23;AC;66,7;$101.517;$1.522
18-07-23;Stratus;105,8;$161.028;$1.522
16-07-23;GT;38;$57.076;$1.502
05-07-23;Stratus;96;$144.192;$1.502
14-06-23;Stratus;78;$117.156;$1.502
06-06-23;Stratus;67;$110.148;$1.644
05-06-23;Stratus;61,1;$100.448;$1.644
29-05-23;Stratus;55;$90.420;$1.644
24-05-23;Stratus;70;$115.080;$1.644
19-05-23;Stratus;68;$111.792;$1.644
12-05-23;Stratus;71;$116.724;$1.644
10-05-23;Stratus;47,7;$78.418;$1.644
09-05-23;RB;22;$36.168;$1.644
06-05-23;RB;51;$83.844;$1.644
26-04-23;Stratus;82;$130.134;$1.587
26-04-23;Stratus;53;$84.111;$1.587
15-04-23;Stratus;86;$136.482;$1.587
03-04-23;AC;23,6;$37.453;$1.587
03-04-23;AC;72,3;$114.740;$1.587
02-04-23;Stratus;75,4;$119.660;$1.587
01-04-23;CR;95,5;$151.560;$1.587
01-04-23;CR;63;$81.249;$1.290
29-03-23;IC;46;$73.990;$1.608
28-03-23;Stratus;74,2;$119.091;$1.605
15-03-23;DB;39,1;$62.755;$1.605
15-03-23;AC;34,4;$55.212;$1.605
12-03-23;Stratus;40;$64.200;$1.605
08-03-23;Stratus;45;$72.225;$1.605
03-03-23;Stratus;84;$134.820;$1.605
28-02-23;Stratus;57,7;$92.608;$1.605
27-02-23;DB;44;$70.620;$1.605
25-02-23;Stratus;33,4;$53.607;$1.605
25-02-23;Stratus;95;$152.475;$1.605
14-02-23;RM;60;$96.300;$1.605
13-02-23;Stratus;60;$96.300;$1.605
07-02-23;DB;17,3;$27.766;$1.605
02-02-23;Stratus;81;$127.656;$1.576
30-01-23;SV;50;$82.050;$1.641
26-01-23;DB;56;$91.896;$1.641
20-01-23;Stratus;52;$85.332;$1.641
08-01-23;Stratus;50;$82.050;$1.641
03-01-23;Stratus;67;$109.947;$1.641
19-12-22;Stratus;46;$88.458;$1.923
18-12-22;Stratus;55;$115.500;$2.100
18-12-22;Stratus;76;$110.634;$1.456
16-12-22;Stratus;50,1;$96.342;$1.923
16-12-22;Stratus;74;$140.600;$1.900
03-12-22;Stratus;89;$171.147;$1.923
26-11-22;Stratus;82;$157.686;$1.923
21-11-22;Stratus;30;$57.690;$1.923
21-11-22;Stratus;89;$147.524;$1.658
